plastic, time, index, energy [kJ/mol]
PP, 20, 0, -9757087.801364958
PP, 20, 1, -9757018.700007789
PP, 20, 2, -9756980.82903834
PP, 20, 3, -9757084.49042195
PP, 20, 4, -9757062.278510489
PP, 20, 5, -9757017.216090433
PP, 20, 6, -9756996.415626222
PP, 20, 7, -9757046.71592205
PP, 20, 8, -9756985.728962222
PP, 20, 9, -9757107.755766178
PP, 20, 10, -9757051.078818362
PP, 20, 11, -9757005.420840232
PP, 20, 12, -9757007.300233388
PP, 20, 13, -9757060.907740142
PP, 20, 14, -9757039.286769552
PP, 20, 15, -9757035.333665581
PP, 20, 16, -9757053.659765936
PP, 20, 17, -9756932.939684533
PP, 20, 18, -9757071.989921192
PP, 20, 19, -9757014.071691588
PP, 20, 20, -9757069.09508967
PP, 20, 21, -9757034.596212182
PP, 20, 22, -9757062.548198136
PP, 20, 23, -9757058.134093199
PP, 20, 24, -9756939.495020304
PP, 20, 25, -9757008.125285298
PP, 20, 26, -9757086.564196793
PP, 20, 27, -9757006.589538157
PP, 20, 28, -9757015.867794937
PP, 20, 29, -9757046.28030169
PP, 20, 30, -9757025.927328736
PP, 20, 31, -9757071.637066314
PP, 20, 32, -9757037.618341424
PP, 20, 33, -9757038.763681486
PP, 20, 34, -9757031.080732996
PP, 20, 35, -9757067.762745472
PP, 20, 36, -9757061.729067672
PP, 20, 37, -9756946.709547553
PP, 20, 38, -9757003.177891571
PP, 20, 39, -9757062.736691844
PP, 20, 40, -9757050.715007981
PP, 20, 41, -9756960.021722447
PP, 20, 42, -9757023.403456938
PP, 20, 43, -9757029.797020877
PP, 20, 44, -9757093.958556267
PP, 20, 45, -9757077.14844013
PP, 20, 46, -9757050.784783913
PP, 20, 47, -9757052.32112203
PP, 20, 48, -9757021.612762697
PP, 20, 49, -9756989.788445167
PP, 20, 50, -9757000.652814822
