plastic, time, index, energy [kJ/mol]
PS, 20, 0, -13401101.82313699
PS, 20, 1, -13401162.02894487
PS, 20, 2, -13401082.445030063
PS, 20, 3, -13401119.397988474
PS, 20, 4, -13401164.855290389
PS, 20, 5, -13401093.359258201
PS, 20, 6, -13401118.077242436
PS, 20, 7, -13401161.415837526
PS, 20, 8, -13401244.910656767
PS, 20, 9, -13401121.521349726
PS, 20, 10, -13401118.411199445
PS, 20, 11, -13401100.697767088
PS, 20, 12, -13401169.628027897
PS, 20, 13, -13401257.922965601
PS, 20, 14, -13401199.834673818
PS, 20, 15, -13401160.905308401
PS, 20, 16, -13401056.905923212
PS, 20, 17, -13401134.161491044
PS, 20, 18, -13401112.637238849
PS, 20, 19, -13401148.385436632
PS, 20, 20, -13401103.622296577
PS, 20, 21, -13401134.141885389
PS, 20, 22, -13401144.880306456
PS, 20, 23, -13401105.971329767
PS, 20, 24, -13401061.879311636
PS, 20, 25, -13401146.661355687
PS, 20, 26, -13401068.590898775
PS, 20, 27, -13401100.469662616
PS, 20, 28, -13401119.758427262
PS, 20, 29, -13401127.639297541
PS, 20, 30, -13401158.6035974
PS, 20, 31, -13401229.587678712
PS, 20, 32, -13401089.205772867
PS, 20, 33, -13401178.473065194
PS, 20, 34, -13401136.323858408
PS, 20, 35, -13401125.315880962
PS, 20, 36, -13401168.405895375
PS, 20, 37, -13401168.468501873
PS, 20, 38, -13401106.784968683
PS, 20, 39, -13401140.940562444
PS, 20, 40, -13401167.29418946
PS, 20, 41, -13401198.798911508
PS, 20, 42, -13401195.85814285
PS, 20, 43, -13401186.838597866
PS, 20, 44, -13401198.85990527
PS, 20, 45, -13401116.804235822
PS, 20, 46, -13401119.925717568
PS, 20, 47, -13401206.974635798
